V,I,G,P,no_module_fault,fault,partial_shading
140.32805,9.76277,843.18691,1369.9904766985,0,0,0
138.07968,9.7735,842.86819,1349.52175248,0,0,0
139.14981,9.82424,842.98103,1367.0411293944,0,0,0
138.22494,9.80747,842.99913,1355.6369523018,0,0,0
141.21667,9.81488,843.33105,1386.0246700496,0,0,0
137.51478,9.80609,843.35362,1348.4823090102,0,0,0
141.51595,9.77986,843.30039,1384.006178767,0,0,0
141.75384,9.79296,843.08493,1388.1896849664,0,0,0
141.21419,9.81489,843.32402,1386.0017412891,0,0,0
143.42784,9.77544,843.4358,1402.0702442496,0,0,0
142.01663,9.74367,843.05619,1383.7631772321,0,0,0
141.48311,9.76298,843.16839,1381.2967732678,0,0,0
138.89274,9.82924,843.37704,1365.2100757176,0,0,0
140.5965,9.80149,843.04937,1378.055188785,0,0,0
142.44872,9.76695,843.04065,1391.289525804,0,0,0
141.44514,9.78167,843.08088,1383.5696825838,0,0,0
140.20673,9.81436,843.19479,1376.0393226428,0,0,0
139.72159,9.76773,843.10367,1364.7627662907,0,0,0
139.71942,9.77624,843.43154,1365.9305825808,0,0,0
141.89743,9.79627,843.10367,1390.0655365861,0,0,0
137.67659,9.80881,843.10068,1350.4435127579,0,0,0
139.55568,9.79221,843.27633,1366.5585252528,0,0,0
141.46458,9.7739,843.04384,1382.660658462,0,0,0
140.3986,9.8087,843.23886,1377.12774782,0,0,0
142.83945,9.77112,843.60633,1395.701406684,0,0,0
140.40579,9.79903,843.42111,1375.8405483837,0,0,0
139.40354,9.85662,843.44942,1374.0477204348,0,0,0
138.85777,9.80298,843.42835,1361.2199421546,0,0,0
139.71506,9.76353,843.40854,1364.1121797618,0,0,0
141.16667,9.79357,843.38811,1382.5256643119,0,0,0
138.58805,9.80557,843.31529,1358.9348254385,0,0,0
140.76505,9.8048,843.77581,1380.17316224,0,0,0
138.30182,9.78773,843.7262,1353.6608726686,0,0,0
139.1861,9.79036,843.30443,1362.682025996,0,0,0
140.01151,9.83247,843.40769,1376.6589717297,0,0,0
140.54695,9.7629,843.33296,1372.145818155,0,0,0
138.30284,9.78778,843.37618,1353.6777712952,0,0,0
140.49472,9.83325,843.49435,1381.51970544,0,0,0
140.82857,9.80606,843.48306,1380.9734071342,0,0,0
140.97687,9.75053,843.47987,1374.5992002411,0,0,0
143.64406,9.76302,843.05555,1402.3998306612,0,0,0
139.72412,9.84417,843.34914,1375.4679903804,0,0,0
141.57527,9.82351,843.40876,1390.7660805977,0,0,0
139.41138,9.75315,843.29464,1359.700100847,0,0,0
140.58481,9.76877,843.45794,1373.3406743837,0,0,0
140.13597,9.79861,843.77431,1373.1377170017,0,0,0
139.52015,9.78972,843.525,1365.863202858,0,0,0
138.37608,9.78613,843.48562,1354.1663077704,0,0,0
137.87348,9.79078,843.48327,1349.8889105144,0,0,0
140.12827,9.80914,843.35851,1374.5378183878,0,0,0
140.19306,9.79041,843.42749,1372.5475365546,0,0,0
139.76254,9.81929,843.04554,1372.3689113966,0,0,0
139.08973,9.81467,843.36234,1365.1198003391,0,0,0
140.38529,9.79178,843.4886,1374.6218749162,0,0,0
139.78638,9.80963,843.33637,1371.2526668394,0,0,0
141.86929,9.84329,843.43878,1396.4605635641,0,0,0
139.18504,9.79238,843.25291,1362.9528019952,0,0,0
141.04408,9.76506,843.28378,1377.3039038448,0,0,0
139.64729,9.79428,843.24801,1367.7446595012,0,0,0
140.7159,9.80409,843.12134,1379.591348031,0,0,0
